Sicht 10: Existenz Daseinsvorsorge;;;;
Abdeckung;Schulen;Kitas;Gewerbegebiet pro Tsd EW (m2);
Aken;;;;
Köthen;7,73%;5,12%;144.000;
Muldestausee;4,10%;6,20%;:;
Osternienburger Land;;;;
Raguhn-Jeßnitz;;;;
Sandersdorf-Brehna;;;;
Südliches Anhalt;2,94%;7,97%;96020;
Zerbst/Anhalt;;;;
Zörbig;;;;
Hohenmölsen;;;;
Lützen;;;;
Teuchern;;;;
Allstedt;2,51%;7,41%;81000;
Arnstein;;;;
Eisleben;3,54%;4,07%;111.318;
Gerbstedt;2,44%;4,82%;96750;
Hettstedt;;;;
Mansfeld;;;;
Seegebiet Mansfelder Land;4,66%;4,79%;140.000;
Südharz;;;;
Bad Dürrenberg;10,85%;11,25%;146.471;
Bad Lauchstädt;4,85%;6,20%;109.705;
Braunsbedra;;;;
Kabelsketal;3,30%;7,40%;;
Landsberg;3%;4,20%;236.000;
Leuna;6,87%;9,45%;646.941;
Mücheln (Geiseltal);;;;
Petersberg;;;;
Querfurt;2,89%;5,37%;149.673;
Salzatal;;;;
Schkopau;;;;
Teutschenthal;;;;
Wettin-Löbejün;2,79%;6,79%;391.896;
