Sicht 4: E-Ladeinfrastruktur;;
;Ladeplätze pro Tsd. Einwohner;
;e-Autos;e-Bikes
Aken;;
Köthen;0,57;0,19
Muldestausee;0,6;0,25
Osternienburger Land;;
Raguhn-Jeßnitz;;
Sandersdorf-Brehna;1,13;0,07
Südliches Anhalt;0;0
Zerbst/Anhalt;;
Zörbig;;
Hohenmölsen;0,3;0,41
Lützen;;
Teuchern;;
Allstedt;0,53;0
Arnstein;;
Eisleben;0,84;0,04
Gerbstedt;0;0
Hettstedt;;
Mansfeld;;
Seegebiet Mansfelder Land;0,94;0
Südharz;;
Bad Dürrenberg;2,95;0
Bad Lauchstädt;0,89;0
Braunsbedra;0,89;0,71
Kabelsketal;0,11;0
Landsberg;1,02;0
Leuna;3,59;0
Mücheln (Geiseltal);0,21;0,31
Petersberg;;
Querfurt;0,504;0
Salzatal;0,88;0,55
Schkopau;;
Teutschenthal;;
Wettin-Löbejün;0,21;0
